algorithm,dataset_type,filename,input_size,threads,run_number,execution_time_ms,memory_usage_kb,comparison_count
quicksort_seq,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,1,194.014,146240,254361670
quicksort_seq,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,2,193.796,146224,254361670
quicksort_seq,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,3,193.943,146224,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,1,195.192,146240,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,2,193.884,146240,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,3,193.431,146240,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,2,1,151.238,146272,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,2,2,151.122,146256,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,2,3,151.195,146272,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,4,1,158.166,146288,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,4,2,153.994,146288,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,4,3,157.711,146304,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,8,1,247.611,146368,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,8,2,260.277,146352,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,8,3,252.695,146368,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,16,1,364.027,146496,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,16,2,343.099,146496,254361670
quicksort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,16,3,350.595,146496,254361670
mergesort_seq,uniform,uniform-input-10000000-1-float.txt,10000000,1,1,1074.467,185520,220100206
mergesort_seq,uniform,uniform-input-10000000-1-float.txt,10000000,1,2,1077.115,185520,220100206
mergesort_seq,uniform,uniform-input-10000000-1-float.txt,10000000,1,3,1077.793,185520,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,1,1,1076.224,185520,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,1,2,1078.601,185520,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,1,3,1079.010,185504,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,2,1,778.626,224528,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,2,2,781.656,224256,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,2,3,765.749,223680,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,4,1,474.153,206080,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,4,2,465.665,234112,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,4,3,481.390,261200,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,8,1,577.704,285664,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,8,2,568.290,276192,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,8,3,576.006,274000,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,16,1,576.324,267408,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,16,2,581.955,260976,220100206
mergesort_par,uniform,uniform-input-10000000-1-float.txt,10000000,16,3,586.732,285696,220100206
quicksort_seq,uniform,uniform-input-10000000-1-float.txt,10000000,1,1,740.800,146224,284478225
quicksort_seq,uniform,uniform-input-10000000-1-float.txt,10000000,1,2,748.637,146240,284478225
quicksort_seq,uniform,uniform-input-10000000-1-float.txt,10000000,1,3,741.166,146240,284478225
